agent_id,n_responses,median_sec,mean_sec,p90_sec
AmazonHelp,6893,569.0,1951.4841143188742,1635.0
AppleSupport,3091,1902.0,5913.718214170171,21150.0
Uber_Support,2099,503.0,1874.9352072415436,3713.2
Tesco,1444,4170.5,8704.159279778394,18407.2
SpotifyCares,1336,1651.0,4612.973053892216,8103.5
British_Airways,1145,8301.0,12631.058515283843,33507.80000000009
comcastcares,1089,4825.0,12503.534435261708,18875.40000000001
sainsburys,1077,19704.0,40512.98235840297,101323.6
Delta,1034,426.0,1535.821083172147,3784.6000000000004
VirginTrains,986,221.5,771.2261663286004,720.5
AmericanAir,949,443.0,826.9241306638567,1857.6000000000001
ChipotleTweets,879,805.0,3871.7178612059156,2242.0000000000005
O2,823,3762.0,12679.43134872418,44345.40000000001
GWRHelp,820,532.0,11537.225609756097,4322.200000000001
TMobileHelp,812,166.0,500.1465517241379,927.9
hulu_support,812,29927.0,70091.18349753694,162827.69999999998
XboxSupport,782,3958.5,13137.980818414322,32975.49999999998
SouthwestAir,778,372.0,1645.4755784061697,1910.5000000000023
Ask_Spectrum,735,346.0,891.2204081632653,1764.6000000000001
idea_cares,730,2368.0,27945.16575342466,87446.00000000009
ArgosHelpers,690,594.5,5439.533333333334,5972.000000000005
AirAsiaSupport,647,11040.0,27924.357032457498,61778.99999999999
sprintcare,642,524.0,4192.6978193146415,3621.799999999997
UPSHelp,631,1309.0,3910.86529318542,12376.0
VerizonSupport,623,192.0,645.0866773675763,477.0
MicrosoftHelps,618,7624.5,69348.33171521036,195182.80000000005
AskPlayStation,605,661.0,16261.957024793388,75119.60000000012
Safaricom_Care,565,1548.0,2362.453097345133,4636.8
ATVIAssist,543,62947.0,211874.0552486188,454666.4
AskTarget,519,6401.0,12003.495183044315,31640.6
marksandspencer,512,14243.0,22664.212890625,52423.4
SW_Help,502,343.5,661.1533864541833,1324.5000000000002
AdobeCare,444,2190.0,27166.425675675677,76515.99999999997
Morrisons,444,3460.0,25111.921171171172,74039.2
BofA_Help,444,2540.5,30550.641891891893,93552.0
AskeBay,406,4196.0,15812.758620689656,45996.5
GloCare,343,3416.0,6210.014577259475,13409.600000000002
AskAmex,340,745.5,8967.579411764706,31373.9
AskPayPal,337,49662.0,64816.93768545994,113940.40000000007
LondonMidland,290,382.0,650.8344827586207,1382.2
AskLyft,274,302.5,955.6605839416059,1700.1000000000006
AzureSupport,269,207.0,35051.843866171,159426.20000000007
AldiUK,269,1869.0,21438.379182156135,42781.4
CoxHelp,268,1196.5,1950.2537313432836,3506.7000000000003
GreggsOfficial,261,1127.0,10026.770114942528,50097.0
Ask_WellsFargo,252,4938.0,13002.79365079365,24948.10000000001
DropboxSupport,242,31546.0,59181.301652892565,152039.0
ChaseSupport,242,4253.5,16204.44214876033,46094.8
HPSupport,229,8082.0,40727.45851528384,126444.80000000009
airtel_care,229,27758.0,152715.5807860262,260562.2
AirbnbHelp,207,584.0,1744.2028985507247,2280.8
DellCares,198,3097.0,37642.368686868685,126627.30000000035
AlaskaAir,195,177.0,443.26666666666665,1075.6
VirginAtlantic,190,1369.5,2192.7157894736843,4407.099999999999
JetBlue,190,216.0,329.80526315789473,661.8999999999999
AskCiti,188,12855.0,46315.96808510638,174805.30000000002
nationalrailenq,166,369.5,622.4156626506024,1271.5
Walmart,152,6109.0,16520.427631578947,51036.4
TacoBellTeam,139,88734.0,98635.43884892086,176651.4
TfL,127,2204.0,314436.40157480317,1774169.8000000003
ArbysCares,122,156574.5,175533.95081967214,272184.80000000005
NikeSupport,121,1264.0,13551.04132231405,48042.0
CenturyLinkHelp,112,432.0,7828.910714285715,24454.4
AskPapaJohns,102,862.0,4882.862745098039,22954.100000000013
NortonSupport,76,1013.0,47867.68421052631,89326.5
ATT,70,6770.0,51020.47142857143,160331.5
AsurionCares,69,1216.0,10398.492753623188,42939.20000000001
IHGService,64,583.0,2357.1875,1316.0
Postmates_Help,64,132.0,281.796875,439.4000000000001
MTNC_Care,63,2090.0,31112.777777777777,90071.8
VirginAmerica,61,156.0,336.8032786885246,621.0
McDonalds,61,31228.0,76246.5081967213,275510.0
SCsupport,58,432349.0,466214.9655172414,635056.4000000001
KFC_UKI_Help,58,2907.5,11345.98275862069,18389.300000000057
askpanera,52,395.0,3468.2884615384614,3181.199999999998
GoDaddyHelp,47,8342.0,10412.872340425532,24881.0
DunkinDonuts,45,24263.0,46325.53333333333,92486.8
DoorDash_Help,45,994.0,3898.6222222222223,8662.400000000003
sizehelpteam,39,9740.0,9268.25641025641,19248.2
VMUcare,32,694.5,4828.21875,14276.800000000014
USCellularCares,30,361.5,4372.266666666666,14790.100000000022
Kimpton,30,2995.0,5314.4,7292.600000000001
AskVirginMoney,29,1178.0,8242.48275862069,37911.4
PandoraSupport,28,48195.0,42675.07142857143,76307.5
AWSSupport,28,11790.5,44528.5,40520.700000000004
TwitterSupport,23,358.0,728.2608695652174,1215.8000000000002
asksalesforce,22,2336.5,14187.0,19846.40000000002
AskRBC,20,1346.5,3062.55,10073.400000000001
GooglePlayMusic,18,495.5,6708.555555555556,17533.500000000036
AskTigogh,18,256.0,383.27777777777777,743.5000000000002
BoostCare,15,2405.0,18410.2,52511.799999999996
AskSeagate,14,13172.5,37145.0,82223.70000000001
HiltonHelp,14,2750.0,2921.0714285714284,5057.900000000001
YahooCare,14,31791.0,30109.785714285714,54499.9
mediatemplehelp,13,544.0,747.3846153846154,1231.0000000000005
askvisa,13,191778.0,246005.15384615384,316219.0
PearsonSupport,12,529.5,586.8333333333334,1093.9
MOO,10,4636.5,7497.7,17193.399999999998
ask_progressive,8,4830.5,23245.5,60304.1
NeweggService,8,306.0,518.375,1090.8
OPPOCareIN,6,27114.0,31860.666666666668,66801.0
AskDSC,4,5996.0,16347.5,38051.40000000001
OfficeSupport,2,47893.5,47893.5,84300.3
AskRobinhood,1,30791.0,30791.0,30791.0
JackBox,1,163928.0,163928.0,163928.0
